Product,Vendor,MDE_SoftwareName
Mozilla Firefox ESR (x86 da),Mozilla,firefox
Mozilla Firefox ESR (x86 de),Mozilla,firefox
Mozilla Firefox ESR (x86 en-GB),Mozilla,firefox
Mozilla Firefox ESR (x86 en-US),Mozilla,firefox
Mozilla Firefox ESR (x86 es-ES),Mozilla,firefox
Mozilla Firefox ESR (x86 es-MX),Mozilla,firefox
Mozilla Firefox ESR (x86 fi),Mozilla,firefox
Mozilla Firefox ESR (x86 fr),Mozilla,firefox
Mozilla Firefox ESR (x86 hu),Mozilla,firefox
Mozilla Firefox ESR (x86 it),Mozilla,firefox
Mozilla Firefox ESR (x86 nb-NO),Mozilla,firefox
Mozilla Firefox ESR (x86 nl),Mozilla,firefox
Mozilla Firefox ESR (x86 pl),Mozilla,firefox
Mozilla Firefox ESR (x86 ru),Mozilla,firefox
Mozilla Firefox ESR (x86 sv-SE),Mozilla,firefox
Mozilla SeaMonkey,Mozilla,
Mozilla Thunderbird (x64),Mozilla,thunderbird
Mozilla Thunderbird (x86),Mozilla,thunderbird
Driver Automation Tool,MSEndpointMgr,
NSClient++ (x64),MySolutions NORDIC,nsclient++_(x64)
NSClient++ (x86),MySolutions NORDIC,
NetSetMan,NetSetMan GmbH,
mRemoteNG,Next Generation Software,mremoteng
Nextcloud (x64),Nextcloud GmbH,nextcloud
Nextcloud (x86),Nextcloud GmbH,nextcloud
Nitro Pro 11 (x64),Nitro,
Nitro Pro 11 (x86),Nitro,
Nitro Pro 12 (x64),Nitro,
Nitro Pro 12 (x86),Nitro,
Nitro Pro 13 (x64),Nitro,
Nitro Pro 13 (x86),Nitro,
Nitro Pro Enterprise 11 (x64),Nitro,
Nitro Pro Enterprise 11 (x86),Nitro,
Nitro Pro Enterprise 12 (x64),Nitro,
Nitro Pro Enterprise 12 (x86),Nitro,
Nitro Pro Enterprise 13 (x64),Nitro,
Nitro Pro Enterprise 13 (x86),Nitro,
Npcap OEM,Nmap Software LLC,npcap
Node.js (x64),Node.js Foundation,nodejs
Node.js (x86),Node.js Foundation,nodejs
Node.js 10 LTS (x64),Node.js Foundation,nodejs
Node.js 10 LTS (x86),Node.js Foundation,nodejs
Node.js 12 LTS (x64),Node.js Foundation,nodejs
Node.js 12 LTS (x86),Node.js Foundation,nodejs
Node.js 14 LTS (x64),Node.js Foundation,nodejs
Node.js 14 LTS (x86),Node.js Foundation,nodejs
Node.js 16 LTS (x64),Node.js Foundation,nodejs
Node.js 16 LTS (x86),Node.js Foundation,nodejs
Notepad++ (x64),Notepad++ Team,notepad++
Notepad++ (x86),Notepad++ Team,notepad++
NVIDIA GeForce Experience,NVIDIA Corporation,
OBS Studio (x64),OBS Project,obs_studio
Obsidian (User-x64),Obsidian,
Umbrella Roaming Client,OpenDNS,
OpenShot Video Editor (x64),"OpenShot Studios, LLC",
OpenVPN (x64),"OpenVPN, Inc.",openvpn
Opera (x64),Opera Software,opera_browser
Opera (x86),Opera Software,opera_browser
Oracle Java 7 (x64),Oracle Corporation,
Oracle Java 7 (x86),Oracle Corporation,
Oracle Java 8 (x64),Oracle Corporation,
Oracle Java 8 (x86),Oracle Corporation,
Oracle Java SE Development Kit 11 (x64),Oracle Corporation,
Oracle Java SE Development Kit 17 (MSI-x64),Oracle Corporation,
Oracle Java SE Development Kit 8 (x64),Oracle Corporation,
Oracle Java SE Development Kit 8 (x86),Oracle Corporation,
Oracle Java SE Development Kit Latest (MSI-x64),Oracle Corporation,
Oracle MySQL Workbench Community Edition,Oracle Corporation,
Oracle VM VirtualBox 6,Oracle Corporation,
ownCloud Desktop Sync Client (x64),ownCloud GmbH,
GlobalProtect 5,Palo Alto Networks,
GlobalProtect 6,Palo Alto Networks,
Parallels Client (MSI-x64),Parallels International GmbH,
PDF24 Creator,PDF24,pdf24_creator
Archi (x64),Phillip Beauvoir,
Archi (x86),Phillip Beauvoir,
Pidgin,Pidgin,
CCleaner,Piriform,ccleaner
MapInfo Pro (x64),Pitney Bowes,
MapInfo Pro (x86),Pitney Bowes,
PKZip (x64),"PKWARE, Inc.",
PKZip (x86),"PKWARE, Inc.",
Plantronics Hub (EXE),"Plantronics, Inc.",
Plantronics Hub (x64),"Plantronics, Inc.",
Plantronics Hub (x86),"Plantronics, Inc.",
Plex Media Player (x64),Plex,
Poll Everywhere,Poll Everywhere,
Poly Lens,"Poly, Inc.",
Postman (User-x64),Postman,
ProjectLibre (x64),ProjectLibre,
Pulse Connect Secure (x64),"Pulse Secure, LLC",pulse_secure
Pulse Connect Secure (x86),"Pulse Secure, LLC",pulse_secure
Python 3.10 (x64),Python Software Foundation,python
Python 3.10 (x86),Python Software Foundation,python
Python 3.7 (x64),Python Software Foundation,python
Python 3.7 (x86),Python Software Foundation,python
Python 3.8 (x64),Python Software Foundation,python
Python 3.8 (x86),Python Software Foundation,python
Python 3.9 (x64),Python Software Foundation,python
Python 3.9 (x86),Python Software Foundation,python
R For Windows,R Core Team,
RealPlayer,RealNetworks,
RealVNC,RealVNC Ltd,
VNC Viewer,RealVNC Ltd,vnc_viewer_
Right Click Tools,"Recast Software, Inc.",right_click_tools
RingCentral (MSI),RingCentral,
RingCentral Meetings,RingCentral,
RingCentral Phone,RingCentral,
RISA-3D 18 (x64),"RISA Tech, Inc.",
RISA-3D 19 (x64),"RISA Tech, Inc.",
RISAConnection 11 (x64),"RISA Tech, Inc.",
RISAConnection 12 (x64),"RISA Tech, Inc.",
Terminals,Robert Chartier,
RStudio,RStudio,
Beyond Compare - EXE Install,"Scooter Software, Inc.",beyond_compare_
Beyond Compare (x64) - MSI Install,"Scooter Software, Inc.",beyond_compare_
Beyond Compare (x86) - MSI Install,"Scooter Software, Inc.",beyond_compare_
Screaming Frog SEO Spider (x64),Screaming Frog Ltd,
ShareX,ShareX Team,
GoodSync 10,Siber Systems,
GoodSync 11,Siber Systems,
RoboForm,Siber Systems,
Signal (User-x64),"Signal Messenger, LLC",
Programmerƒ??s Notepad,Simon Steele,
PuTTY (x64),Simon Tatham,putty
PuTTY (x86),Simon Tatham,putty
Slack (x64),Slack Technologies,
Slack (x86),Slack Technologies,
ControlUp Agent for .NET Framework 3.5 (x64),Smart-X,
ControlUp Agent for .NET Framework 4.5 (x64),Smart-X,
WebDrive (x64),South River Technologies,
WebDrive (x86),South River Technologies,
Splunk Universal Forwarder 7 (x64),"Splunk, Inc.",
Splunk Universal Forwarder 7 (x86),"Splunk, Inc.",
Splunk Universal Forwarder 8 (x64),"Splunk, Inc.",
Splunk Universal Forwarder 8 (x86),"Splunk, Inc.",
AirSquirrels Reflector (x64),Squirrels LLC,
AirSquirrels Reflector (x86),Squirrels LLC,
AirSquirrels Reflector 3 (x64),Squirrels LLC,
AirSquirrels Reflector 3 (x86),Squirrels LLC,
AirSquirrels Reflector 4 (x64),Squirrels LLC,
AirSquirrels Reflector 4 (x86),Squirrels LLC,
Airsquirrels Reflector Teacher (x64),Squirrels LLC,
Airsquirrels Reflector Teacher (x86),Squirrels LLC,
SRWare Iron (x64),SRWare,
SRWare Iron (x86),SRWare,
grepWin (x64),Stefans Tools,
grepWin (x86),Stefans Tools,
TortoiseHg (x64),Steve Borho and others,
TortoiseHg (x86),Steve Borho and others,
eduVPN Client,SURF,
SURFdrive (x64),SURF,
Synergy (MSI-x64),Symless Ltd,
Tableau Desktop 20 (x64),Tableau Software,
Tableau Desktop 2021.1 (x64),Tableau Software,
Tableau Desktop 2021.2 (x64),Tableau Software,
Tableau Desktop 2021.3 (x64),Tableau Software,
Tableau Desktop 2021.4 (x64),Tableau Software,
Tableau Desktop 2022.1 (x64),Tableau Software,
Tableau Prep Builder 2021.4 (x64),Tableau Software,
Tableau Prep Builder 2022.1 (x64),Tableau Software,
Tableau Reader 2021 (x64),Tableau Software,
Tableau Reader 2022 (x64),Tableau Software,
TeamViewer 11,TeamViewer,teamviewer
TeamViewer 12,TeamViewer,teamviewer
TeamViewer 13,TeamViewer,teamviewer
TeamViewer 14,TeamViewer,teamviewer
TeamViewer 15 (x64) - EXE Install,TeamViewer,teamviewer
TeamViewer 15 (x64) - MSI Install,TeamViewer,teamviewer
TeamViewer 15 (x86) - EXE Install,TeamViewer,teamviewer
TeamViewer 15 (x86) - MSI Install,TeamViewer,teamviewer
TeamViewer Host 15 (x86) - EXE Install,TeamViewer,teamviewer
TeamViewer Host 15 (x86) - MSI Install,TeamViewer,teamviewer
Camtasia 2018,TechSmith Corporation,camtasia
Camtasia 2019 - EXE Install,TechSmith Corporation,camtasia
